experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_3,openclip_vit_l14,rbf_svm,2,0.8571428571428571,0.8583993094092984,0.14285714285714285,0.8846153846153846,0.8076923076923077,0.88
experiment_3,openclip_vit_l14,rbf_svm,3,0.868421052631579,0.8648581692059953,0.13157894736842105,0.96,0.72,0.9230769230769231
experiment_3,openclip_vit_l14,rbf_svm,4,0.9473684210526315,0.9476495726495727,0.05263157894736842,0.92,0.96,0.9615384615384616
experiment_3,openclip_vit_l14,rbf_svm,5,0.9078947368421053,0.9060554087671319,0.09210526315789473,1.0,0.8,0.9230769230769231
experiment_3,openclip_vit_l14,random_forest,1,0.922077922077922,0.9212126618790609,0.07792207792207792,1.0,0.9230769230769231,0.84
experiment_3,openclip_vit_l14,random_forest,2,0.8051948051948052,0.8046022937476879,0.19480519480519481,0.8076923076923077,0.6923076923076923,0.92
experiment_3,openclip_vit_l14,random_forest,3,0.8289473684210527,0.8226415094339622,0.17105263157894737,0.92,0.64,0.9230769230769231
experiment_3,openclip_vit_l14,random_forest,4,0.9473684210526315,0.9476626877165962,0.05263157894736842,0.96,0.92,0.9615384615384616
experiment_3,openclip_vit_l14,random_forest,5,0.881578947368421,0.8792005157962605,0.11842105263157894,1.0,0.76,0.8846153846153846
experiment_3,openclip_vit_l14,xgboost,1,0.9090909090909091,0.9078081885300917,0.09090909090909091,1.0,0.9230769230769231,0.8
experiment_3,openclip_vit_l14,xgboost,2,0.8441558441558441,0.8446153846153845,0.15584415584415584,0.8846153846153846,0.7692307692307693,0.88
experiment_3,openclip_vit_l14,xgboost,3,0.8157894736842105,0.8049999470007738,0.19736842105263158,0.92,0.56,0.9615384615384616
experiment_3,openclip_vit_l14,xgboost,4,0.9078947368421053,0.9085411942554799,0.09210526315789473,0.96,0.84,0.9230769230769231
experiment_3,openclip_vit_l14,xgboost,5,0.9078947368421053,0.9060554087671319,0.09210526315789473,1.0,0.8,0.9230769230769231
